Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,US,C8D,Cottonwood,Cottonwood,ID,RL,--3-----,1707,,4603N 11621W,
,US,CTW,Cottonwood,Cottonwood,AZ,AI,---4----,0001,,,
,US,CZV,Cottonwood,Cottonwood,CA,RQ,--3-----,9307,,,
,US,CZW,Cottonwood,Cottonwood,MN,RQ,--3-----,9307,,,
,US,JTD,Cottonwood,Cottonwood,AL,RQ,--3-----,1001,,3102N 08518W,
,US,DGH,Cottonwood Heights,Cottonwood Heights,UT,RL,--3-----,0901,,4037N 11148W,
,US,2TT,Cottrellville,Cottrellville,MI,RL,1----6--,0901,,4241N 08232W,
,US,COT,Cotulla,Cotulla,TX,AI,--34----,1307,,,
,US,CZQ,Coudersport,Coudersport,PA,RQ,--3-----,9307,,,
,US,OJU,Coulee Dam,Coulee Dam,WA,RL,--3-----,1401,,4757N 11858W,
,US,JOU,Coulter,Coulter,IA,RL,--3-----,1107,,4244N 09322W,
,US,CV6,Coulterville,Coulterville,IL,RQ,--3--6--,0607,,3811N 08936W,
,US,KVJ,Coulterville,Coulterville,CA,RL,--3-----,1601,,3742N 12011W,
,US,CUC,Counce,Counce,TN,RQ,--3-----,9307,,,
,US,CIL,Council,Council,AK,AI,---4----,0001,,,
,US,OUC,Council,Council,ID,RL,--34----,0401,,4443N 11626W,
,US,CBF,Council Bluffs,Council Bluffs,IA,AI,---4----,9601,,,
,US,UGE,Council Grove,Council Grove,KS,RL,123-----,0901,,3840N 09630W,
,US,CU9,Country Club Hills,Country Club Hills,IL,RL,--3-----,1301,,4134N 08743W,
,US,CBJ,Country Side,Country Side,IL,RQ,--3-----,9307,,,
,US,3CS,Countryside,Countryside,IL,RL,--3-----,1301,,4146N 08752W,
,US,CBL,Coupeville,Coupeville,WA,RQ,--3-----,9307,,,
,US,OPD,Coupland,Coupland,TX,RQ,--3-----,0907,,3027N 09723W,
,US,OUT,Courtdale,Courtdale,PA,RL,--3-----,0401,,4116N 07554W,
,US,C6Y,Courtenay,Courtenay,ND,RL,--3-----,1601,,4713N 09833W,
,US,CBP,Courtland,Courtland,AL,RQ,--3-----,9307,,,
,US,CBQ,Courtland,Courtland,KS,RQ,--3-----,9307,,,
,US,CBR,Courtland,Courtland,MN,RQ,--3-----,9307,,,
,US,URD,Courtland,Courtland,CA,RL,--3-----,0701,,3819N 12134W,
,US,VXQ,Courtland,Courtland,VA,RL,-----6--,0901,,3642N 07704W,
,US,CH7,Coushatta,Coushatta,LA,RL,--3-----,0901,,3200N 09320W,
,US,CV7,Cove,Cove,AR,RL,-23-----,0607,,3425N 09425W,
,US,KOV,Cove,Cove,OR,RQ,--3-----,0901,,4517N 11748W,
,US,C28,Cove City,Cove City,NC,RL,--3-----,1607,,3511N 07719W,
,US,CP6,Cove Point,Cove Point,MD,RL,1-------,0901,,3822N 07623W,
,US,7CY,Coventry,Coventry,VT,RL,--3-----,1807,,4451N 07215W,
,US,ADO,Coventry,Coventry,RI,RQ,--3-----,9008,,,
,US,ZCJ,Coventry,Coventry,CT,RL,-----6--,0901,,4146N 07218W,
,US,CJV,Covesville,Covesville,VA,RQ,--3-----,9307,,,
,US,CVQ,Covina,Covina,CA,RQ,--3-----,9307,,,
,US,AAH,Covington,Covington,TN,RQ,--3-----,9008,,,
,US,CVF,Covington,Covington,GA,RQ,--3-----,9307,,,
,US,CVJ,Covington,Covington,VA,RQ,--3-----,9307,,,
